nodo1,nodo2,distancia_minima
0,1,3.21545045905656
0,2,inf
0,3,inf
0,4,inf
0,5,inf
0,6,inf
0,7,inf
0,8,inf
0,9,inf
0,10,inf
0,11,inf
0,12,inf
0,13,inf
0,14,inf
0,15,inf
0,16,inf
0,17,inf
0,18,inf
0,19,inf
0,20,inf
0,21,inf
0,22,inf
0,23,inf
0,24,inf
0,25,inf
0,26,inf
0,27,inf
0,28,inf
0,29,inf
0,30,inf
0,31,inf
0,32,inf
0,33,inf
0,34,inf
0,35,inf
0,36,inf
0,37,inf
0,38,inf
0,39,inf
0,40,inf
0,41,inf
0,42,inf
0,43,inf
0,44,inf
0,45,inf
0,46,inf
0,47,inf
0,48,inf
0,49,inf
0,50,inf
0,51,inf
0,52,inf
0,53,inf
0,54,inf
0,55,inf
0,56,inf
0,57,inf
0,58,inf
0,59,inf
0,60,inf
0,61,inf
0,62,inf
0,63,inf
0,64,inf
0,65,inf
0,66,inf
0,67,inf
0,68,inf
0,69,inf
0,70,inf
0,71,inf
0,72,inf
0,73,inf
0,74,inf
0,75,inf
0,76,inf
0,77,inf
0,78,inf
0,79,inf
0,80,inf
0,81,inf
0,82,inf
0,83,inf
0,84,inf
0,85,inf
0,86,inf
0,87,inf
0,88,inf
0,89,inf
0,90,inf
0,91,inf
0,92,inf
0,93,inf
0,94,inf
0,95,inf
0,96,inf
0,97,inf
0,98,inf
0,99,inf
0,100,inf
0,101,inf
0,102,inf
0,103,inf
0,104,inf
0,105,inf
0,106,inf
0,107,inf
0,108,inf
0,109,inf
0,110,inf
0,111,inf
0,112,inf
0,113,inf
0,114,inf
0,115,inf
0,116,inf
0,117,inf
0,118,inf
0,119,inf
0,120,inf
0,121,inf
0,122,inf
0,123,inf
0,124,inf
0,125,inf
0,126,inf
0,127,inf
0,128,inf
0,129,inf
0,130,inf
0,131,inf
0,132,inf
0,133,inf
0,134,inf
0,135,inf
0,136,inf
0,137,inf
0,138,inf
0,139,inf
0,140,inf
0,141,inf
0,142,inf
0,143,inf
0,144,inf
0,145,inf
0,146,inf
0,147,inf
0,148,inf
0,149,inf
0,150,inf
0,151,inf
0,152,inf
0,153,inf
0,154,inf
0,155,inf
0,156,inf
0,157,inf
0,158,inf
0,159,inf
0,160,inf
0,161,inf
0,162,inf
0,163,inf
0,164,inf
0,165,inf
0,166,inf
0,167,inf
0,168,inf
0,169,inf
0,170,inf
0,171,inf
0,172,inf
0,173,inf
0,174,inf
0,175,inf
0,176,inf
0,177,inf
0,178,inf
0,179,inf
0,180,inf
0,181,inf
0,182,inf
0,183,inf
0,184,inf
0,185,inf
