nodo1,nodo2,distancia_minima
0,1,3
0,2,4
0,3,1
0,4,1
0,5,5
0,6,2
0,7,4
0,8,5
0,9,1
0,10,2
0,11,2
0,12,3
0,13,4
0,14,4
0,15,5
0,16,3
0,17,4
0,18,4
0,19,6
0,20,6
0,21,5
0,22,7
0,23,10
0,24,5
0,25,8
0,26,6
0,27,6
0,28,9
0,29,8
0,30,9
0,31,9
0,32,7
0,33,9
0,34,8
0,35,11
0,36,10
0,37,11
0,38,13
0,39,12
0,40,13
0,41,10
0,42,7
0,43,9
0,44,8
0,45,8
0,46,8
0,47,9
0,48,8
0,49,9
0,50,10
0,51,9
0,52,3
0,53,3
0,54,4
0,55,8
0,56,10
0,57,11
0,58,10
0,59,9
0,60,9
0,61,9
0,62,9
0,63,8
0,64,9
0,65,10
0,66,9
0,67,13
0,68,8
0,69,7
0,70,9
0,71,10
0,72,11
0,73,9
0,74,10
0,75,11
0,76,12
0,77,10
0,78,12
0,79,10
0,80,11
0,81,11
0,82,10
0,83,11
0,84,10
0,85,12
0,86,11
0,87,12
0,88,11
0,89,13
0,90,9
0,91,11
0,92,8
0,93,13
0,94,12
0,95,10
0,96,9
0,97,8
0,98,11
0,99,10
0,100,11
0,101,11
0,102,9
0,103,12
0,104,12
0,105,10
0,106,9
0,107,8
0,108,9
0,109,11
0,110,10
0,111,11
0,112,10
0,113,9
0,114,8
0,115,9
0,116,11
0,117,10
0,118,8
0,119,9
0,120,9
0,121,10
0,122,9
0,123,7
0,124,8
0,125,8
0,126,9
0,127,9
0,128,8
0,129,11
0,130,12
0,131,12
0,132,11
0,133,11
0,134,10
0,135,12
0,136,7
0,137,10
0,138,10
0,139,10
0,140,9
0,141,11
0,142,8
0,143,9
0,144,9
0,145,10
0,146,9
0,147,10
0,148,11
0,149,10
0,150,11
0,151,10
0,152,10
0,153,13
0,154,11
0,155,12
0,156,9
0,157,13
0,158,13
0,159,3
0,160,4
0,161,4
0,162,4
0,163,5
0,164,5
0,165,6
0,166,7
0,167,7
0,168,8
0,169,8
0,170,8
0,171,8
0,172,9
0,173,9
0,174,10
0,175,3
0,176,9
0,177,6
0,178,7
0,179,6
0,180,4
0,181,7
0,182,6
0,183,7
0,184,2
0,185,3
0,186,9
0,187,3
0,188,7
0,189,10
0,190,4
0,191,7
0,192,8
0,193,8
0,194,6
0,195,9
0,196,10
0,197,8
0,198,9
0,199,7
0,200,6
0,201,5
0,202,5
0,203,8
0,204,4
0,205,3
0,206,6
0,207,8
0,208,6
0,209,9
0,210,9
0,211,5
0,212,4
0,213,7
0,214,5
0,215,7
0,216,3
0,217,4
0,218,5
0,219,5
0,220,7
0,221,7
0,222,7
0,223,7
0,224,6
0,225,8
0,226,9
0,227,7
0,228,5
0,229,7
0,230,8
0,231,8
0,232,8
0,233,8
0,234,8
0,235,6
0,236,5
0,237,6
0,238,6
0,239,7
0,240,6
0,241,7
0,242,7
0,243,8
0,244,7
0,245,8
0,246,8
0,247,8
0,248,8
0,249,9
0,250,9
0,251,6
0,252,5
0,253,7
0,254,8
0,255,6
0,256,9
0,257,8
0,258,7
0,259,5
0,260,7
0,261,7
0,262,6
0,263,7
0,264,6
0,265,6
0,266,6
0,267,4
0,268,6
0,269,13
0,270,14
0,271,15
0,272,14
0,273,14
0,274,14
0,275,13
0,276,14
0,277,13
0,278,12
0,279,14
0,280,12
0,281,13
0,282,12
0,283,13
0,284,13
0,285,13
0,286,13
0,287,14
0,288,12
0,289,11
0,290,13
0,291,12
0,292,13
0,293,14
0,294,12
0,295,13
0,296,13
0,297,13
0,298,15
0,299,14
0,300,14
0,301,16
0,302,16
0,303,14
0,304,15
0,305,14
0,306,15
0,307,13
0,308,12
0,309,14
0,310,13
0,311,14
0,312,15
0,313,16
0,314,14
0,315,15
0,316,15
0,317,16
0,318,15
0,319,16
0,320,16
0,321,17
0,322,17
0,323,16
0,324,15
0,325,15
0,326,17
0,327,16
0,328,18
0,329,17
0,330,18
0,331,16
0,332,17
0,333,18
0,334,18
0,335,17
0,336,17
0,337,17
0,338,14
0,339,14
0,340,13
0,341,14
0,342,15
0,343,16
0,344,16
0,345,17
0,346,15
0,347,17
0,348,16
0,349,17
0,350,16
0,351,14
0,352,15
0,353,16
0,354,14
0,355,15
0,356,14
0,357,14
0,358,14
0,359,14
0,360,15
0,361,14
0,362,15
0,363,16
0,364,16
0,365,14
0,366,14
0,367,18
0,368,15
0,369,15
0,370,15
0,371,15
0,372,15
0,373,15
0,374,15
0,375,13
0,376,16
0,377,14
0,378,15
0,379,17
0,380,16
0,381,18
0,382,17
0,383,17
0,384,16
0,385,15
0,386,14
0,387,14
0,388,14
0,389,15
0,390,15
0,391,12
0,392,13
0,393,14
0,394,14
0,395,15
0,396,14
0,397,14
0,398,15
0,399,14
0,400,15
0,401,14
0,402,13
0,403,14
0,404,13
0,405,11
0,406,12
0,407,14
0,408,17
0,409,13
0,410,14
0,411,13
0,412,13
0,413,14
0,414,14
0,415,14
0,416,13
0,417,12
0,418,12
0,419,13
0,420,10
0,421,11
0,422,14
0,423,18
0,424,15
0,425,15
0,426,15
0,427,12
0,428,13
0,429,17
0,430,14
0,431,17
0,432,17
0,433,17
0,434,16
0,435,17
0,436,18
0,437,17
0,438,17
0,439,17
0,440,14
0,441,16
0,442,16
0,443,17
0,444,16
0,445,16
0,446,15
0,447,14
0,448,13
0,449,15
0,450,13
0,451,14
0,452,15
0,453,15
0,454,13
0,455,16
0,456,14
0,457,15
0,458,13
0,459,12
0,460,13
0,461,13
0,462,12
0,463,13
0,464,12
0,465,16
0,466,14
0,467,16
0,468,12
0,469,14
0,470,15
0,471,14
0,472,12
0,473,12
0,474,14
0,475,16
0,476,13
0,477,13
0,478,13
0,479,12
0,480,15
0,481,15
0,482,13
0,483,15
0,484,14
0,485,16
0,486,15
0,487,16
0,488,15
0,489,17
0,490,14
0,491,16
0,492,18
0,493,18
0,494,17
0,495,18
0,496,17
0,497,17
0,498,17
0,499,17
0,500,15
0,501,14
0,502,16
0,503,17
0,504,17
0,505,17
0,506,17
0,507,16
0,508,19
0,509,19
0,510,17
0,511,16
0,512,18
0,513,16
0,514,18
0,515,17
0,516,18
0,517,11
0,518,16
0,519,17
0,520,16
0,521,13
0,522,14
0,523,14
0,524,11
0,525,14
0,526,18
0,527,18
0,528,18
0,529,17
0,530,12
0,531,15
0,532,14
0,533,13
0,534,12
0,535,16
0,536,15
0,537,16
0,538,14
0,539,17
0,540,13
0,541,14
0,542,13
0,543,17
0,544,15
0,545,15
0,546,16
0,547,14
0,548,14
0,549,10
0,550,11
0,551,11
0,552,12
0,553,10
0,554,9
0,555,9
0,556,11
0,557,10
0,558,12
0,559,12
0,560,12
0,561,12
0,562,11
0,563,11
0,564,12
0,565,12
0,566,11
0,567,13
0,568,11
0,569,12
0,570,13
0,571,13
0,572,12
0,573,11
0,574,13
0,575,12
0,576,13
0,577,11
0,578,12
0,579,14
0,580,15
0,581,14
0,582,13
0,583,13
0,584,15
0,585,15
0,586,14
0,587,14
0,588,13
0,589,12
0,590,11
0,591,13
0,592,14
0,593,13
0,594,12
0,595,12
0,596,13
0,597,15
0,598,15
0,599,12
0,600,12
0,601,13
0,602,12
0,603,14
0,604,13
0,605,14
0,606,11
0,607,12
0,608,12
0,609,13
0,610,14
0,611,10
0,612,11
0,613,10
0,614,10
0,615,11
0,616,11
0,617,12
0,618,14
0,619,12
0,620,12
0,621,14
0,622,11
0,623,13
0,624,13
0,625,7
0,626,8
0,627,9
0,628,12
0,629,12
0,630,9
0,631,10
0,632,8
0,633,9
0,634,10
0,635,9
0,636,10
0,637,11
0,638,11
0,639,11
0,640,11
0,641,12
0,642,11
0,643,14
0,644,10
0,645,15
0,646,11
0,647,11
0,648,13
0,649,13
0,650,14
0,651,13
0,652,12
0,653,10
0,654,12
0,655,9
0,656,10
0,657,11
0,658,11
0,659,14
0,660,15
0,661,14
0,662,13
0,663,11
0,664,13
0,665,11
0,666,11
0,667,14
0,668,6
0,669,6
0,670,5
0,671,5
0,672,7
0,673,8
0,674,7
0,675,8
0,676,6
0,677,8
0,678,8
0,679,8
0,680,9
0,681,10
0,682,9
0,683,8
0,684,10
1,2,1
1,3,4
1,4,4
1,5,2
1,6,1
1,7,3
1,8,2
1,9,2
1,10,3
1,11,5
1,12,6
1,13,7
1,14,7
1,15,6
1,16,6
1,17,7
1,18,7
1,19,8
1,20,8
1,21,8
1,22,9
1,23,10
1,24,6
1,25,7
1,26,7
1,27,7
1,28,10
1,29,9
1,30,8
1,31,10
1,32,6
1,33,8
1,34,7
1,35,9
1,36,10
1,37,10
1,38,12
1,39,11
1,40,12
1,41,8
1,42,8
1,43,8
1,44,8
1,45,9
1,46,7
1,47,10
1,48,9
1,49,10
1,50,9
1,51,9
1,52,6
1,53,6
1,54,7
1,55,9
1,56,9
1,57,11
1,58,11
1,59,10
1,60,10
1,61,7
1,62,7
1,63,6
1,64,7
1,65,8
1,66,7
1,67,13
1,68,7
1,69,6
1,70,8
1,71,10
1,72,10
